first       |  middle  |  last        |  bank   |  bankID  |  balance  
-----------------------------------------------------------------------
Kermit      |  The     |  Frog        |  BOC    |  100     |  1,000,000.000
Kermit      |          |  Swish       |  BOC    |  222     |  50.000   
Okonkwo     |  James   |  Bush        |  BOC    |  179     |  1,000.000
Louisenbai  |          |  Espada      |  BOC    |  6       |  25,500.000
David       |          |  Tsang       |  BOC    |  666     |  999.000  
Monkey      |  D       |  Luffy       |  BOC    |  202     |  100,000.000
Binyam      |          |  Wondswosen  |  BOC    |  200     |  10.000   
Rose        |          |  Abbott      |  BOC    |  924     |  1,000.000
Anjali      |  John    |  Graves      |  BOC    |  8674    |  19.990   
Ted         |  Peter   |  Orozco      |  BOC    |  299     |  293,848.000
Aarav       |          |  Li          |  BOC    |  89      |  102,948.000
Emory       |  Andrew  |  Tate        |  BOC    |  2938    |  1,000,000.000
Nicola      |          |  Mcclain     |  BOC    |  9873    |  0.000    
Jaydon      |          |  Holden      |  BOC    |  1237    |  9,876.540
Joe         |          |  Asen        |  BOC    |  8972    |  93,492.000
Sasuke      |          |  Uchiha      |  BOC    |  1929    |  988.000  
Hugh        |          |  Jass        |  BOC    |  9983    |  191,919.000
